Ключ;Значение
ГЧК;губернская чрезвычайная комиссия по борьбе с контрреволюцией и саботажем
Гужповинность;гужевая повинность
Гушосдор;Главное управление шоссейных дорог
Д.;дело
ДА;дивизионная артиллерия
ДАГ;дивизионная артиллерийская группа
ДБ;дальний бомбардировщик
ДБА;дальняя бомбардировочная авиация
ДВФ;Дальневосточный фронт
ДД;дальнего действия
ДЗ;дымовая завеса
ДЗОТ;дерево-земляная огневая точка
дзот;дерево-земляная огневая точка
ДКР;дорожно-комендантская рота
ДКУ;дорожно-комендантский участок
ДНС;дом начальствующего состава
ДОП;дивизионный обменный пункт
ДОТ;долговременная огневая точка
дот;долговременная огневая точка
ДПК;дежурный помощник коменданта
ДПС;дорожно-постовая служба
ДСБ;дорожно-строительньш батальон
ДШК;крупнокалиберный пулемет (Дегтярев — Шпагин — Калашников)
ДЭБ;дорожно-зксплуатационный батальон
ДЭП;дорожно-эксплуатационный эвакопункт
ДальВО;Дальневосточный военный округ
Дезотряд;дезинфекционный отряд
ЗА;зенитная артиллерия
ЗАБ;зажигательная авиационная бомба
ЗАОН;зенитная артиллерия особого назначения
ЗКРС;военный комендант(комендатура) распорядительной станции
ЗНГШ;заместитель начальника Генерального штаба
ЗП;зенитный пулемет
ЗРВ;зенитно-ракетные войска
ЗРИПВО;Зенитно-ракетный институт ПВО
ЗабВО;Забайкальский военный округ
ЗабФ;Забайкальский фронт
Забфронт;Забайкальский фронт
Завотсовхоз;заведующий подотделом совхозов земельного отдела
ЗакВО;Закавказский военный округ
ЗакФ;Закавказский фронт
Закфронт;Закавказский фронт
ЗапОВО;Западный Особый военный округ
Запармия;Запасная армия
Запфронт;Западный фронт
Земотдел;земельный отдел
ИА;истребительная авиация
ИВДВ;Институт воздушно-десантных войск
ИККИ;Исполнительный комитет Коммунистического Интернационала
ИО;исполняющий обязанности
ИП;измерительный пункт
ИТЛ;исправительно-трудовой лагерь
ИТР;инженерно-технический работник
Интеркавбригада;интернациональная кавалерийская бригада
Инфчасть;информационная часть
КА;Красная Армия
КАТЩ;катер-тральщик
КБФ;Краснознаменный Балтийский флот
КВ;космические войска
КВО;Киевский военный округ
КДФ;Краснознаменная Днепровская флотилия [610]
КЛ;канонерская лодка
КМГ;конно-механизированная группа
КНС;командный и начальствующий состав
КОВО;Киевский Особый военный округ
КП;командный пункт
КПВО;корпус ПВО
КПП;контрольно-пропускной пункт
КРО;криминально-розыскной отдел
КРЦ;командно-разведывательный центр
КТР;катер-тральщик
КУКС;Курсы усовершенствования командного состава
КУОС;курсы усовершенствования офицерского состава
КФ;Каспийская флотилия
КЭО;квартирно-эксплуатационный отдел
КЭЧ;квартнрно-эксплуатационная часть
КаУР;Карельский укреплённый район
Кав...;кавалерийский
Каррота;(батальон) караульная рота (батальон)
Кол.;(нем.) поселок
Контрхозком;контрольно-хозяйственная комиссия
ЛАНО;Ленинградская армия народного ополчения
ЛБТКУКС;Ленинградские бронетанковые курсы усовершенствования командного состава
ЛВО;Ленинградский военный округ
ЛИС;летно-испытательная огужба
ЛОН;лечебница общего назначения (ветеринарная)
ЛФ;Ленинградский фронт
ЛенВО;Ленинградский военный округ
Лыжрота;лыжная рота
М.;(в названии) Малый
МБР;морской ближний разведчик
МВО;Московский военный округ
МГУ;мощная громкоговорящая установка
МЗА;малокалиберная зенитная артиллерия
МЗО;Московская зона обороны
МЗП;минное заградительное поле
МК;морской корпус
МНРА;Монгольская Народно-революционная армия
МО;морской охотник
МОР;морской оборонительный район
МП;мобилизационный план
МПВО;местная противовоздушная оборона
МТО;материально-техническое обеспечение
МТС;машинно-тракторная станция
МТФ;молочно-товарная ферма
МЭП;медицинский эвакуационный пункт
Н.;(в названии) Нижний, Новый
НАД;начальник артиллерии дивизии
НБА;ночная бомбардировочная авиация
НГШ;начальник Генерального штаба
НИБТП;Научно-исследовательский бронетанковый полигон
НИИ;научно-исследовательский институт
НИИИ_AT;Научно-исследовательский и испытательный институт автомобильной техники
НИИИ_АТ;Научно-исследовательский и испытательный институт автомобильной техники
НИИИ_БТВТ;Научно-исследовательский и испытательный институт бронетанкового вооружения и техники
НИИС;Научно-исследовательский институт связи
НКАП;Народный комиссариат авиационной промышленности
НКВ;Народный комиссариат вооружения
НКВД;Народный комиссариат внутренних дел
НКВМФ;Народный комиссариат Военно-морского Флота
НКГБ;Народный комиссариат государственной безопасности
НКЗ;Народный комиссариат земледелия
